id,name.ko,name.en,kind,category,color,sprite,unlock_day,unlock_when,shop_price,desc.ko,desc.en,default_action,prep_action,default_target_qty,default_target_unit,shelf_group,liquid_alpha,dataset_id,row_id,parent_id,parent_field,source_order,template_id
gin,진,Gin,ingredient,base,"230,235,240",\N,0,\N,\N,주니퍼베리 향의 증류주. 칵테일의 기본기.,A juniper-scented spirit. The foundation of cocktails.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_gin,@shelf_items,\N,0,shelf_items_format_01
beer,맥주,Beer,ingredient,wine_beer,"202,162,4",\N,1,\N,\N,차갑게. 그게 전부이자 진리.,Serve it cold. That's the whole truth.,pour,open,1,oz,fridge,0.75,shelf_items,shelf_items_beer,@shelf_items,\N,1,shelf_items_format_02
red_wine,레드와인,Red Wine,ingredient,wine_beer,"98,15,11",\N,1,\N,\N,잔에 따르는 순간부터 분위기가 달라진다.,The mood changes the moment it hits the glass.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_red_wine,@shelf_items,\N,2,shelf_items_format_01
champagne,샴페인,Champagne,ingredient,wine_beer,"255,245,225",\N,1,\N,\N,축하할 일이 없어도 축하하게 만드는 술.,Makes you celebrate even with nothing to celebrate.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_champagne,@shelf_items,\N,3,shelf_items_format_01
soda_water,탄산수,Carbonated Water,ingredient,mixer,"245,250,255",\N,0,\N,\N,맑고 톡 쏘는 탄산수. 진토닉과 진피즈에 공통으로 사용한다.,"Clear, sparkling carbonated water used in both Gin & Tonic and Gin Fizz.",fill_up,\N,3,oz,fridge,0.35,shelf_items,shelf_items_soda_water,@shelf_items,\N,4,shelf_items_format_01
tequila,데킬라,Tequila,ingredient,base,"240,235,220",\N,1,\N,\N,아가베의 태양을 병에 담은 것.,"The agave sun, bottled.",pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_tequila,@shelf_items,\N,5,shelf_items_format_01
vodka,보드카,Vodka,ingredient,base,"240,245,250",\N,1,\N,\N,무색무취. 그래서 어디에나 스며든다.,Colorless and odorless — that's how it blends in anywhere.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_vodka,@shelf_items,\N,6,shelf_items_format_01
rum,럼,Rum,ingredient,base,"180,120,60",\N,1,\N,\N,사탕수수와 항해의 술.,The spirit of sugarcane and long voyages.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_rum,@shelf_items,\N,7,shelf_items_format_01
orange_juice,오렌지주스,Orange Juice,ingredient,juice,"253,180,60",\N,1,\N,25,아침의 맛. 새벽의 바에서는 위장약.,"The taste of morning. At a bar past midnight, it's medicine.",pour,\N,1,oz,fridge,0.75,shelf_items,shelf_items_orange_juice,@shelf_items,\N,8,shelf_items_format_03
ginger_ale,진저에일,Ginger Ale,ingredient,mixer,"230,200,120",\N,1,\N,25,알싸한 생강 탄산.,Spicy ginger fizz.,fill_up,\N,3,oz,fridge,0.75,shelf_items,shelf_items_ginger_ale,@shelf_items,\N,9,shelf_items_format_03
cola,콜라,Cola,ingredient,mixer,"60,30,20",\N,1,\N,25,무엇을 섞어도 콜라 맛이 이긴다. 그게 무기다.,Mix in anything — cola wins. That's its weapon.,fill_up,\N,3,oz,fridge,0.75,shelf_items,shelf_items_cola,@shelf_items,\N,10,shelf_items_format_03
whiskey,위스키,Whiskey,ingredient,base,"190,120,40",\N,2,\N,\N,오크통에서 잠들었다 깨어난 시간.,Time that slept in an oak barrel and woke up.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_whiskey,@shelf_items,\N,11,shelf_items_format_01
dry_vermouth,드라이 버무스,Dry Vermouth,ingredient,liqueur,"220,220,190",\N,2,\N,\N,마티니를 마티니로 만드는 한 방울.,The one drop that makes a martini a martini.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_dry_vermouth,@shelf_items,\N,12,shelf_items_format_01
grenadine,그레나딘,Grenadine,ingredient,syrup,"180,30,50",\N,2,\N,\N,석류빛 붉은 시럽. 노을 담당.,Pomegranate-red syrup. In charge of sunsets.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_grenadine,@shelf_items,\N,13,shelf_items_format_01
sour_mix,사워믹스,Sour Mix,ingredient,mixer,"230,220,160",\N,2,\N,25,새콤한 필업 베이스.,A tangy fill-up base.,fill_up,\N,3,oz,fridge,0.75,shelf_items,shelf_items_sour_mix,@shelf_items,\N,14,shelf_items_format_03
cointreau,쿠앵트로,Cointreau,ingredient,liqueur,"235,200,140",\N,1,\N,\N,오렌지 리큐르의 귀족.,The aristocrat of orange liqueurs.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_cointreau,@shelf_items,\N,15,shelf_items_format_01
cranberry_juice,크랜베리주스,Cranberry Juice,ingredient,juice,"170,30,60",\N,1,\N,25,붉고 떫고 세련된 맛.,"Red, tart, and sophisticated.",pour,\N,1,oz,fridge,0.75,shelf_items,shelf_items_cranberry_juice,@shelf_items,\N,16,shelf_items_format_03
triple_sec,트리플섹,Triple Sec,ingredient,liqueur,"235,225,200",\N,2,\N,\N,오렌지 리큐르의 실용주의자.,The pragmatist of orange liqueurs.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_triple_sec,@shelf_items,\N,17,shelf_items_format_01
kahlua,칼루아,Kahlua,ingredient,liqueur,"60,35,25",\N,1,\N,\N,커피를 술로 번역한 것.,"Coffee, translated into liquor.",pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_kahlua,@shelf_items,\N,18,shelf_items_format_01
milk,우유,Milk,ingredient,dairy,"245,245,240",\N,1,\N,15,고양이와 초보 손님의 선택.,The choice of cats and cautious customers.,pour,\N,1,oz,fridge,1,shelf_items,shelf_items_milk,@shelf_items,\N,19,shelf_items_format_03
