id,name.ko,name.en,status,price,abv,glass,target_mix_method,target_prep_action,mix,prep,garnish,color,color2,mixing_ice,serving_ice,flavor.ko,flavor.en,recipe_desc.ko,recipe_desc.en,unlock_day,unlock_when,time_limit_sec,sprite,serve_sprite,dataset_id,row_id,parent_id,parent_field,source_order,template_id
gin_tonic,진토닉,Gin & Tonic,confirmed,180,8,long_drink,build,\N,build,\N,\N,"255,255,255",\N,none,cubed,진과 탄산수. 가장 단순해서 가장 정직한 칵테일.,"Gin and carbonated water. The simplest, and therefore the most honest.",롱드링크 잔에 진 1.5oz를 붓고 탄산수 4oz로 채운다.,"Pour 1.5oz gin into a long drink glass, then top with 4oz carbonated water.",0,\N,36,Finished_GinTonic,Serve_GinTonic,cocktails,cocktails_gin_tonic,@cocktails,\N,0,cocktails_format_01
gin_fizz,진피즈,Gin Fizz,confirmed,220,8,long_drink,shake,\N,shake,\N,\N,"255,255,255",\N,cubed,cubed,"진과 탄산수, 그리고 '피즈' 하는 탄산 소리.","Gin, carbonated water, and that 'fizz' of carbonation.",셰이커에 진 1.5oz를 붓고 흔든 뒤 롱드링크 잔에 따른다. 탄산수 3oz로 채운다.,"Pour 1.5oz gin into the shaker, shake, then pour into a long drink glass. Top with 3oz carbonated water.",0,\N,52,Finished_GinFizz,Serve_GinFizz,cocktails,cocktails_gin_fizz,@cocktails,\N,1,cocktails_format_01
bottle_beer,병맥주,Bottled Beer,confirmed,90,4.5,mug,none,open,none,cap,\N,"202,162,4",\N,none,none,뚜껑 따는 소리가 안주다. 잔은 곁들여서.,The pop of the cap is the appetizer. Served with a glass.,뚜껑을 딴 뒤 맥주잔에 12oz를 천천히 따른다. 거품이 잔 위로 넘치지 않게 기울여서.,"Pop the cap and pour 12oz slowly into a beer mug, tilted so the head doesn't spill over.",1,\N,28,Finished_BottleBeer,Serve_BottleBeer,cocktails,cocktails_bottle_beer,@cocktails,\N,2,cocktails_format_02
red_wine,레드와인,Red Wine,confirmed,220,13,wine,none,\N,none,\N,\N,"98,15,11",\N,none,none,말이 필요 없는 잔. 향이 절반이다.,A glass that needs no words. Half of it is the aroma.,와인잔에 8oz를 따른다. 잔을 흔들지 않는다.,Pour 8oz into a wine glass. Do not swirl.,1,\N,36,Finished_RedWine,Serve_RedWine,cocktails,cocktails_red_wine,@cocktails,\N,3,cocktails_format_01
champagne,샴페인,Champagne,confirmed,350,12,wine,none,\N,none,\N,\N,"255,245,225",\N,none,none,기포가 올라오는 동안은 누구나 주인공.,"While the bubbles rise, everyone's the main character.",와인잔에 8oz를 따른다. 기포가 가라앉기 전에 낸다.,Pour 8oz into a wine glass. Serve before the bubbles settle.,1,\N,36,Finished_Champagne,Serve_Champagne,cocktails,cocktails_champagne,@cocktails,\N,4,cocktails_format_01
screwdriver,스크류드라이버,Screwdriver,confirmed,190,12,long_drink,build,\N,build,\N,\N,"236,223,95",\N,none,cubed,"보드카와 오렌지주스. 이름은 공구, 맛은 과일.","Vodka and orange juice. Named after a tool, tastes like fruit.",롱드링크 잔에 보드카 1.5oz와 오렌지주스 6oz를 넣고 젓는다.,Build 1.5oz vodka and 6oz orange juice in a long drink glass and stir.,1,\N,44,Finished_Screwdriver,Serve_Screwdriver,cocktails,cocktails_screwdriver,@cocktails,\N,5,cocktails_format_01
moscow_mule,모스코뮬,Moscow Mule,confirmed,210,10,mug,build,\N,build,\N,\N,"215,163,2",\N,none,cubed,생강의 알싸함이 노새의 뒷발차기 같다고 해서 뮬.,The ginger kick they say feels like a mule's hind leg.,맥주잔에 보드카 1.5oz를 붓고 진저에일 4oz로 채운다.,"Pour 1.5oz vodka into a mug, then top with 4oz ginger ale.",1,\N,44,Finished_MoscowMule,Serve_MoscowMule,cocktails,cocktails_moscow_mule,@cocktails,\N,6,cocktails_format_01
tequila_sunrise,데킬라 선라이즈,Tequila Sunrise,confirmed,200,12,long_drink,build,\N,build,\N,\N,"253,161,48",\N,none,cubed,잔 속에서 해가 뜬다. 새벽의 바에서 제일 잘 팔리는 아침.,A sunrise inside a glass. The best-selling morning at a late-night bar.,롱드링크 잔에 데킬라 1oz와 오렌지주스 6oz를 넣는다.,Pour 1oz tequila and 6oz orange juice into a long drink glass.,1,\N,44,Finished_TequilaSunrise,Serve_TequilaSunrise,cocktails,cocktails_tequila_sunrise,@cocktails,\N,7,cocktails_format_01
long_island,롱아일랜드 아이스티,Long Island Iced Tea,confirmed,380,22,long_drink,build,\N,build,\N,\N,"214,122,13",\N,none,cubed,홍차는 한 방울도 안 들어간다. 그게 함정이다.,Not a drop of tea in it. That's the trap.,롱드링크 잔에 진·보드카·럼·데킬라를 1oz씩 넣는다. 콜라 1.5oz로 채운다.,"Pour 1oz each of gin, vodka, rum, and tequila into a long drink glass. Top with 1.5oz cola.",1,\N,68,Finished_LongIsland,Serve_LongIsland,cocktails,cocktails_long_island,@cocktails,\N,8,cocktails_format_01
whiskey_sour,위스키 사워,Whiskey Sour,confirmed,240,15,sour,shake,\N,shake,\N,\N,"243,208,144",\N,cubed,none,위스키의 무게에 사워믹스의 균형.,"The weight of whiskey, balanced by sour mix.",셰이커에 위스키 1.5oz를 붓고 흔든 뒤 사워 잔에 따른다. 사워믹스 2oz로 채운다.,"Pour 1.5oz whiskey into the shaker, shake, then pour into a sour glass. Top with 2oz sour mix.",2,\N,52,Finished_WhiskeySour,Serve_WhiskeySour,cocktails,cocktails_whiskey_sour,@cocktails,\N,9,cocktails_format_01
dry_martini,드라이 마티니,Dry Martini,confirmed,300,30,cocktail,stir,\N,stir,\N,\N,"230,229,201",\N,cubed,none,"젓지 말고 흔들어서, 라고 말하는 손님을 조심할 것.","Beware the customer who says 'shaken, not stirred.'",믹싱 글라스에 진 6oz와 드라이 버무스 1.5oz를 넣고 스터한 뒤 칵테일 잔에 따른다.,"Stir 6oz gin with 1.5oz dry vermouth in a mixing glass, then strain into a cocktail glass.",2,\N,44,Finished_DryMartini,Serve_DryMartini,cocktails,cocktails_dry_martini,@cocktails,\N,10,cocktails_format_01
bacardi,바카디,Bacardi,confirmed,230,20,cocktail,shake,\N,shake,\N,\N,"219,96,89",\N,cubed,none,럼과 그레나딘. 이름을 건 칵테일.,Rum and grenadine. A cocktail that bears the name.,럼 4.5oz와 그레나딘 0.75oz를 셰이킹해 칵테일 잔에 따른다.,"Shake 4.5oz rum and 0.75oz grenadine, then strain into a cocktail glass.",2,\N,52,Finished_Bacardi,Serve_Bacardi,cocktails,cocktails_bacardi,@cocktails,\N,11,cocktails_format_01
cosmopolitan,코스모폴리탄,Cosmopolitan,confirmed,250,20,cocktail,shake,\N,shake,\N,\N,"219,109,92",\N,cubed,none,도시적인 붉은 빛. 유행은 지나가도 맛은 남는다.,Urban red. Trends pass; the taste stays.,"보드카 4oz, 쿠앵트로 1.5oz, 크랜베리주스 3oz를 셰이킹해 칵테일 잔에 따른다.","Shake 4oz vodka, 1.5oz cointreau, and 3oz cranberry juice, then strain into a cocktail glass.",1,\N,60,Finished_Cosmopolitan,Serve_Cosmopolitan,cocktails,cocktails_cosmopolitan,@cocktails,\N,12,cocktails_format_01
margarita,마가리타,Margarita,confirmed,260,25,cocktail,shake,\N,shake,\N,\N,"210,218,109",\N,cubed,none,데킬라의 강렬함에 오렌지 리큐르의 향을 더한다.,Bold tequila with the aroma of orange liqueur.,데킬라 3.5oz와 트리플섹 2oz를 셰이킹해 칵테일 잔에 따른다.,"Shake 3.5oz tequila and 2oz triple sec, then strain into a cocktail glass.",2,\N,52,Finished_Margarita,Serve_Margarita,cocktails,cocktails_margarita,@cocktails,\N,13,cocktails_format_01
white_lady,화이트레이디,White Lady,confirmed,270,25,cocktail,shake,\N,shake,\N,\N,"247,241,214",\N,cubed,none,"새하얀 드레스처럼 우아하고, 도수는 우아하지 않다.",Elegant as a white dress. The proof is not elegant.,진 40ml와 트리플섹 30ml를 셰이킹해 칵테일 잔에 따른다.,"Shake 40ml gin and 30ml triple sec, then strain into a cocktail glass.",2,\N,52,Finished_WhiteLady,Serve_WhiteLady,cocktails,cocktails_white_lady,@cocktails,\N,14,cocktails_format_01
kahlua_milk,깔루아 밀크,Kahlua Milk,confirmed,150,7,old_fashioned,build,\N,build,\N,\N,"159,162,119",\N,none,cubed,커피와 우유와 약간의 알코올. 고양이도 탐내는 맛.,"Coffee, milk, a little alcohol. Even cats covet it.",올드패션 잔에 칼루아 1.5oz를 붓고 우유 0.75oz를 위에 얹듯 천천히 따른다.,"Pour 1.5oz kahlua into an old fashioned glass, then layer 0.75oz milk slowly on top.",1,\N,44,Finished_KahluaMilk,Serve_KahluaMilk,cocktails,cocktails_kahlua_milk,@cocktails,\N,15,cocktails_format_01
godfather,갓파더,Godfather,confirmed,230,28,old_fashioned,stir,\N,stir,\N,\N,"222,150,52",\N,cubed,cubed,위스키와 아마레토. 짧고 묵직한 두 재료의 대화.,"Whiskey and amaretto. A short, weighty conversation between two spirits.",믹싱 글라스에 위스키 50ml와 아마레토 25ml를 넣고 스터한 뒤 올드패션 잔에 따른다.,"Stir 50ml whiskey and 25ml amaretto in a mixing glass, then strain into an old fashioned glass.",2,\N,44,Finished_Godfather,Serve_Godfather,cocktails,cocktails_godfather,@cocktails,\N,16,cocktails_format_01
godmother,갓마더,Godmother,confirmed,220,22,old_fashioned,stir,\N,stir,\N,\N,"232,188,102",\N,cubed,cubed,보드카의 깨끗함에 아마레토의 단맛을 얹는다.,Clean vodka softened by the sweetness of amaretto.,믹싱 글라스에 보드카 30ml와 아마레토 30ml를 넣고 스터한 뒤 올드패션 잔에 따른다.,"Stir 30ml vodka and 30ml amaretto in a mixing glass, then strain into an old fashioned glass.",2,\N,44,Finished_Godmother,Serve_Godmother,cocktails,cocktails_godmother,@cocktails,\N,17,cocktails_format_01
french_connection,프렌치 커넥션,French Connection,confirmed,240,30,old_fashioned,build,\N,build,\N,\N,"200,120,40",\N,none,cubed,브랜디와 아마레토가 만드는 깊고 느린 단맛.,"Brandy and amaretto create a deep, lingering sweetness.",올드패션 잔에 브랜디 35ml와 아마레토 35ml를 넣고 가볍게 젓는다.,Build 35ml brandy and 35ml amaretto in an old fashioned glass and stir gently.,2,\N,44,Finished_FrenchConnection,Serve_FrenchConnection,cocktails,cocktails_french_connection,@cocktails,\N,18,cocktails_format_01
brandy_sour,브랜디 사워,Brandy Sour,confirmed,250,15,sour,shake,\N,shake,\N,\N,"212,146,0",\N,cubed,none,브랜디의 온기에 사워믹스의 균형을 잡는다.,Warm brandy balanced with sour mix.,브랜디 50ml를 셰이킹해 사워 잔에 따른다. 사워믹스 45ml를 채운다.,"Shake 50ml brandy, then strain into a sour glass. Top with 45ml sour mix.",2,\N,52,Finished_BrandySour,Serve_BrandySour,cocktails,cocktails_brandy_sour,@cocktails,\N,19,cocktails_format_01
pink_lady,핑크 레이디,Pink Lady,confirmed,300,18,cocktail,shake,\N,shake,\N,\N,"254,97,126",\N,cubed,none,"진과 그레나딘, 크림이 만드는 부드러운 분홍빛.","Gin, grenadine, and cream in a soft shade of pink.","진 25ml, 그레나딘 25ml, 크림 25ml를 셰이킹해 칵테일 잔에 따른다.","Shake 25ml gin, 25ml grenadine, and 25ml cream, then strain into a cocktail glass.",2,\N,60,Finished_PinkLady,Serve_PinkLady,cocktails,cocktails_pink_lady,@cocktails,\N,20,cocktails_format_01
