id,kind,resource_key,note,dataset_id,row_id,parent_id,parent_field,source_order,template_id
tl_intro,timeline,INTRO,타이틀/도입 연출,cutscenes,cutscenes_tl_intro,@cutscenes,\N,0,cutscenes_format_01
tl_intro_lab,timeline,Intro_lab,연구소 도입 — 꿈(습격) 연출 재료,cutscenes,cutscenes_tl_intro_lab,@cutscenes,\N,1,cutscenes_format_01
tl_find_luna,timeline,FindLuna,루나 발견(구조) 회상,cutscenes,cutscenes_tl_find_luna,@cutscenes,\N,2,cutscenes_format_01
tl_bubi_meet,timeline,day1_bubi_fetch,부비 첫 만남 — d3_aili_bubi 승격 후보,cutscenes,cutscenes_tl_bubi_meet,@cutscenes,\N,3,cutscenes_format_01
tl_catmilk,timeline,day1_bubi_drink_reaction,깔루아밀크 × 고양이 연출,cutscenes,cutscenes_tl_catmilk,@cutscenes,\N,4,cutscenes_format_01
tl_samho_meet,timeline,SmahoMeet,거리 시스템 제외 — 삼호·시바 첫 만남 별도 연출 컷신,cutscenes,cutscenes_tl_samho_meet,@cutscenes,\N,5,cutscenes_format_01
tl_samho_arrive,timeline,SmahoArrive,거리 시스템 제외 — 삼호 생존 결과·도움 요청 별도 연출 컷신,cutscenes,cutscenes_tl_samho_arrive,@cutscenes,\N,6,cutscenes_format_01
tl_samho_dead,timeline,SamhoDead,거리 시스템 제외 — 삼호 사망 결과 별도 연출 컷신,cutscenes,cutscenes_tl_samho_dead,@cutscenes,\N,7,cutscenes_format_01
tl_finished_cosmo,timeline,Finished_Cosmopolitan,"완성 연출 — 앵커 4종만 유지(절차적 합성 방침, 30종 전부 제작 안 함)",cutscenes,cutscenes_tl_finished_cosmo,@cutscenes,\N,8,cutscenes_format_01
tl_finished_martini,timeline,Finished_DryMartini,\E,cutscenes,cutscenes_tl_finished_martini,@cutscenes,\N,9,cutscenes_format_01
tl_finished_ginfizz,timeline,Finished_GinFizz,\E,cutscenes,cutscenes_tl_finished_ginfizz,@cutscenes,\N,10,cutscenes_format_01
tl_finished_kahlua,timeline,Finished_KahluaMilk,\E,cutscenes,cutscenes_tl_finished_kahlua,@cutscenes,\N,11,cutscenes_format_01
tl_serve_cosmo,timeline,Serve_Cosmopolitan,서빙 연출 — 앵커 4종,cutscenes,cutscenes_tl_serve_cosmo,@cutscenes,\N,12,cutscenes_format_01
tl_serve_martini,timeline,Serve_DryMartini,\E,cutscenes,cutscenes_tl_serve_martini,@cutscenes,\N,13,cutscenes_format_01
tl_serve_ginfizz,timeline,Serve_GinFizz,\E,cutscenes,cutscenes_tl_serve_ginfizz,@cutscenes,\N,14,cutscenes_format_01
tl_serve_kahlua,timeline,Serve_KahluaMilk,\E,cutscenes,cutscenes_tl_serve_kahlua,@cutscenes,\N,15,cutscenes_format_01
tl_serve_unknown,timeline,Serve_Unknown,[보관] 'unknown 칵테일' 개념 폐지 — 2부 자유조합 실패 연출 전용 후보,cutscenes,cutscenes_tl_serve_unknown,@cutscenes,\N,16,cutscenes_format_01
tl_raid_1,timeline,TL_Dream_Raid1,[예약] 꿈 습격 1 — CutSceneLab 649프레임 재료,cutscenes,cutscenes_tl_raid_1,@cutscenes,\N,17,cutscenes_format_01
tl_raid_2,timeline,TL_Dream_Raid2,[예약] 꿈 습격 2,cutscenes,cutscenes_tl_raid_2,@cutscenes,\N,18,cutscenes_format_01
tl_d13_rios,timeline,TL_Day13_Rios,[예약] day13 리오스 등장,cutscenes,cutscenes_tl_d13_rios,@cutscenes,\N,19,cutscenes_format_01
gif_bubi_headjump,gif,Spine_Bubi_HeadJump,[예약] 부비 머리 점프(스파인→GIF) — 현 fx cat_on_head 승격 후보,cutscenes,cutscenes_gif_bubi_headjump,@cutscenes,\N,20,cutscenes_format_01
sp_parttime_poster,sprite,Poster/parttime,알바 전단 포스터 뷰 — 이미지 발주 대기(가칭 키),cutscenes,cutscenes_sp_parttime_poster,@cutscenes,\N,21,cutscenes_format_01
sp_experiment_poster,sprite,Poster/experiment,임상시험 전단 포스터 뷰 — 이미지 발주 대기(가칭 키),cutscenes,cutscenes_sp_experiment_poster,@cutscenes,\N,22,cutscenes_format_01
