string_id,ko,en,dataset_id,row_id,parent_id,parent_field,source_order,template_id
ui_grade_excellent,Excellent,Excellent,ui_strings,ui_strings_ui_grade_excellent,@ui_strings,\N,0,ui_strings_format_01
ui_grade_good,Good,Good,ui_strings,ui_strings_ui_grade_good,@ui_strings,\N,1,ui_strings_format_01
ui_grade_decent,Decent,Decent,ui_strings,ui_strings_ui_grade_decent,@ui_strings,\N,2,ui_strings_format_01
ui_grade_poor,Poor,Poor,ui_strings,ui_strings_ui_grade_poor,@ui_strings,\N,3,ui_strings_format_01
ui_grade_sewage,Sewage,Sewage,ui_strings,ui_strings_ui_grade_sewage,@ui_strings,\N,4,ui_strings_format_01
ui_make,제조하기,Make,ui_strings,ui_strings_ui_make,@ui_strings,\N,5,ui_strings_format_01
ui_serve,제공하기,Serve,ui_strings,ui_strings_ui_serve,@ui_strings,\N,6,ui_strings_format_01
ui_discard,버리기,Discard,ui_strings,ui_strings_ui_discard,@ui_strings,\N,7,ui_strings_format_01
ui_recipe_note,레시피 노트,Recipe Note,ui_strings,ui_strings_ui_recipe_note,@ui_strings,\N,8,ui_strings_format_01
ui_menu,메뉴,Menu,ui_strings,ui_strings_ui_menu,@ui_strings,\N,9,ui_strings_format_01
ui_settlement,정산,Settlement,ui_strings,ui_strings_ui_settlement,@ui_strings,\N,10,ui_strings_format_01
ui_stock_in,재료 입고,New Stock,ui_strings,ui_strings_ui_stock_in,@ui_strings,\N,11,ui_strings_format_01
ui_end_day,하루 마치기,End the Day,ui_strings,ui_strings_ui_end_day,@ui_strings,\N,12,ui_strings_format_01
ui_wait_chris,크리스를 기다린다,Wait for Chris,ui_strings,ui_strings_ui_wait_chris,@ui_strings,\N,13,ui_strings_format_01
ui_sleep,잠에 든다,Go to Sleep,ui_strings,ui_strings_ui_sleep,@ui_strings,\N,14,ui_strings_format_01
ui_next,다음,Next,ui_strings,ui_strings_ui_next,@ui_strings,\N,15,ui_strings_format_01
ui_confirm,확인,OK,ui_strings,ui_strings_ui_confirm,@ui_strings,\N,16,ui_strings_format_01
ui_cancel,취소,Cancel,ui_strings,ui_strings_ui_cancel,@ui_strings,\N,17,ui_strings_format_01
ui_save_prompt,저장하시겠습니까?,Save your progress?,ui_strings,ui_strings_ui_save_prompt,@ui_strings,\N,18,ui_strings_format_01
ui_continue,이어하기,Continue,ui_strings,ui_strings_ui_continue,@ui_strings,\N,19,ui_strings_format_01
ui_new_game,새 게임,New Game,ui_strings,ui_strings_ui_new_game,@ui_strings,\N,20,ui_strings_format_01
ui_sales,매출,Sales,ui_strings,ui_strings_ui_sales,@ui_strings,\N,21,ui_strings_format_01
ui_tips,팁,Tips,ui_strings,ui_strings_ui_tips,@ui_strings,\N,22,ui_strings_format_01
ui_reputation,평판,Reputation,ui_strings,ui_strings_ui_reputation,@ui_strings,\N,23,ui_strings_format_01
ui_give_drink,제공한다,Serve it,ui_strings,ui_strings_ui_give_drink,@ui_strings,\N,24,ui_strings_format_01
ui_refuse_drink,돌려보낸다,Send them home,ui_strings,ui_strings_ui_refuse_drink,@ui_strings,\N,25,ui_strings_format_01
ui_crash_resume,지난 세션이 비정상 종료되었습니다. 마지막 자동 저장에서 다시 시작할까요?,The last session ended unexpectedly. Restart from the latest autosave?,ui_strings,ui_strings_ui_crash_resume,@ui_strings,\N,26,ui_strings_format_01
