context,seq,type,actor,arg,text.ko,text.en,dialogue_id,when,effects,sync,scene_id,dataset_id,row_id,parent_id,parent_field,source_order,template_id
d1_tutorial_chris,2,enter,chris,R,\N,\N,\N,\N,\N,wait,\N,script/bar/day0,step_d1_tutorial_chris_enter_2,scene_d1_tutorial_chris,steps,0,steps_format_01
d1_tutorial_chris,3,say,chris,default,루나.,Luna.,dlg_d1_tutorial_chris_001,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_001,scene_d1_tutorial_chris,steps,1,steps_format_02
d1_tutorial_chris,4,say,luna,default,네?,Yes?,dlg_d1_tutorial_chris_002,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_002,scene_d1_tutorial_chris,steps,2,steps_format_02
d1_tutorial_chris,5,say,chris,default,방금 내가 무슨 말을 했는지 듣긴 한 거야?,Did you hear a word of what I just said?,dlg_d1_tutorial_chris_003,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_003,scene_d1_tutorial_chris,steps,3,steps_format_02
d1_tutorial_chris,6,say,luna,default,무슨 말이요?,What did you say?,dlg_d1_tutorial_chris_004,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_004,scene_d1_tutorial_chris,steps,4,steps_format_02
d1_tutorial_chris,7,say,chris,fail,.....,.....,dlg_d1_tutorial_chris_005,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_005,scene_d1_tutorial_chris,steps,5,steps_format_02
d1_tutorial_chris,8,say,chris,default,집중해. 이제 와서 관두지도 못한다고.,Focus. It's too late to quit now.,dlg_d1_tutorial_chris_006,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_006,scene_d1_tutorial_chris,steps,6,steps_format_02
d1_tutorial_chris,9,say,luna,default,네. 알겠습니다.,Yes. Understood.,dlg_d1_tutorial_chris_007,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_007,scene_d1_tutorial_chris,steps,7,steps_format_02
d1_tutorial_chris,10,say,chris,default,그럼 방금 배웠던 내용을 다시 짚어보자.,Then let's go over what you just learned.,dlg_d1_tutorial_chris_008,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_008,scene_d1_tutorial_chris,steps,8,steps_format_02
d1_tutorial_chris,11,say,luna,default,알겠습니다.,Understood.,dlg_d1_tutorial_chris_009,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_009,scene_d1_tutorial_chris,steps,9,steps_format_02
d1_tutorial_chris,12,say,chris,default,"<order>진토닉</order> 하나만 만들 수 있게 되면 더는 확인하지 않을 거야.
금방 하는 거니까 지루해도 참아.","Once you can make a single <order>Gin & Tonic</order>, I'll stop checking on you.
It won't take long, so bear with the boredom.",dlg_d1_tutorial_chris_010,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_010,scene_d1_tutorial_chris,steps,10,steps_format_02
d1_tutorial_chris,13,say,luna,default,(진과 탄산수를 섞는 게 그렇게 어려운 일일까.),(Can mixing gin and carbonated water really be that difficult?),dlg_d1_tutorial_chris_011,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_011,scene_d1_tutorial_chris,steps,11,steps_format_02
d1_tutorial_chris,14,say,chris,fail,또 딴생각하지.,You're drifting off again.,dlg_d1_tutorial_chris_012,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_012,scene_d1_tutorial_chris,steps,12,steps_format_02
d1_tutorial_chris,15,say,luna,default,아니요. 바로 시작하죠.,No. Let's start right away.,dlg_d1_tutorial_chris_013,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_013,scene_d1_tutorial_chris,steps,13,steps_format_02
d1_tutorial_chris,16,say,chris,default,좋아.,Good.,dlg_d1_tutorial_chris_014,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_014,scene_d1_tutorial_chris,steps,14,steps_format_02
d1_tutorial_chris,17,say,chris,default,"먼저 손님의 주문을 받은 뒤 칵테일을 만드는 상황이 되면
바 스테이션으로 화면이 전환될 거야.","First — once you've taken a guest's order and it's time to mix,
the view will switch over to the bar station.",dlg_d1_tutorial_chris_015,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_015,scene_d1_tutorial_chris,steps,15,steps_format_02
d1_tutorial_chris,18,say,chris,default,그때 너의 시각 인터페이스에 칵테일을 만들 때 필요한 정보들이 출력될 거야.,That's when your visual interface will display everything you need to build the cocktail.,dlg_d1_tutorial_chris_016,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_016,scene_d1_tutorial_chris,steps,16,steps_format_02
d1_tutorial_chris,19,say,chris,default,"먼저 좌측 상단에는 <name>손님의 주문</name>이 정리되어서 보일 텐데,
혹시라도 손님의 주문을 잊었다면 여기서 확인하면 돼.","At the top left you'll see the <name>guest's order</name>, laid out clean.
If you ever forget what they asked for, check it there.",dlg_d1_tutorial_chris_017,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_017,scene_d1_tutorial_chris,steps,17,steps_format_02
d1_tutorial_chris,20,say,chris,default,좌측 주문 정보 아래에서 칵테일 레시피를 확인할 수 있어.,"Below the order info on the left, you can browse cocktail recipes.",dlg_d1_tutorial_chris_018,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_018,scene_d1_tutorial_chris,steps,18,steps_format_02
d1_tutorial_chris,21,say,chris,default,"보고 싶은 칵테일을 눌러보면 그 칵테일을 만드는 데
필요한 <world>재료</world>, <world>제조 방법</world>, <world>설명</world> 등이 보일 거야.","Tap the cocktail you want and you'll see its
<world>ingredients</world>, <world>method</world>, <world>description</world> — everything it takes.",dlg_d1_tutorial_chris_019,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_019,scene_d1_tutorial_chris,steps,19,steps_format_02
d1_tutorial_chris,22,say,chris,default,"전에 이식한 <name>바텐더 가이드 칩</name>에 대부분의 칵테일 <name>레시피</name>가 들어 있어.
하지만 지금은 레시피 정보가 조금밖에 안 보일 거야.","The <name>bartender guide chip</name> we implanted holds most of the cocktail <name>recipes</name>.
For now, though, you'll only see a handful of them.",dlg_d1_tutorial_chris_020,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_020,scene_d1_tutorial_chris,steps,20,steps_format_02
d1_tutorial_chris,23,say,luna,default,이유가 있습니까?,Is there a reason?,dlg_d1_tutorial_chris_021,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_021,scene_d1_tutorial_chris,steps,21,steps_format_02
d1_tutorial_chris,24,say,chris,default,"“진토닉 하나도 제대로 만들지 못한다면,
다른 칵테일을 배울 필요도 없다.” 이게 전에 있던 마스터가 남긴 방침이야.","""If you can't make a single Gin & Tonic properly,
you have no business learning any other cocktail."" That was the old master's policy.",dlg_d1_tutorial_chris_022,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_022,scene_d1_tutorial_chris,steps,22,steps_format_02
d1_tutorial_chris,25,say,luna,default,옳은 생각인 것 같습니다.,That sounds like sound reasoning.,dlg_d1_tutorial_chris_023,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_023,scene_d1_tutorial_chris,steps,23,steps_format_02
d1_tutorial_chris,26,say,chris,default,동감이다. 그래서 지금 네가 만들 수 있는 칵테일은 몇 개 안 돼.,Agreed. Which is why you can only make a few cocktails right now.,dlg_d1_tutorial_chris_024,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_024,scene_d1_tutorial_chris,steps,24,steps_format_02
d1_tutorial_chris,27,say,chris,default,바에서 일을 이어 가면 가이드 칩에서 사용할 수 있는 칵테일 레시피가 차례로 늘어날 거야.,"As you keep working here, more cocktail recipes will become available on the guide chip.",dlg_d1_tutorial_chris_025,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_025,scene_d1_tutorial_chris,steps,25,steps_format_02
d1_tutorial_chris,28,say,luna,default,사용할 수 있는 레시피는 어떻게 확인하는 거죠?,How do I check which recipes I can use?,dlg_d1_tutorial_chris_026,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_026,scene_d1_tutorial_chris,steps,26,steps_format_02
d1_tutorial_chris,29,say,chris,default,"그날 사용할 수 있는 레시피는 메뉴에 표시된다.
아직 사용할 수 없는 레시피는 잠겨 있을 거야.","The recipes available that day appear on the menu.
Anything unavailable will remain locked.",dlg_d1_tutorial_chris_027,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_027,scene_d1_tutorial_chris,steps,27,steps_format_02
d1_tutorial_chris,30,say,chris,default,새로운 레시피를 사용할 수 있게 되면 메뉴에서 확인할 수 있어.,"When a new recipe becomes available, you can check it there.",dlg_d1_tutorial_chris_028,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_028,scene_d1_tutorial_chris,steps,28,steps_format_02
d1_tutorial_chris,31,say,luna,default,생각보다 유용한 칩이었네요.,The chip is more useful than I expected.,dlg_d1_tutorial_chris_029,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_029,scene_d1_tutorial_chris,steps,29,steps_format_02
d1_tutorial_chris,32,say,chris,default,그거 만들겠다고 전 마스터가 고생 좀 했지.,The old master went through hell building that thing.,dlg_d1_tutorial_chris_030,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_030,scene_d1_tutorial_chris,steps,30,steps_format_02
d1_tutorial_chris,33,say,chris,default,"메뉴에서 레시피를 고르면 선반이 차례로 나온다.
잔, 도구, 재료 순서야. 필요한 걸 골라 담으면 돼.","Pick a recipe from the menu and the shelves come one by one —
glass, tools, then ingredients. Take what you need.",dlg_d1_tutorial_chris_031,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_031,scene_d1_tutorial_chris,steps,31,steps_format_02
d1_tutorial_chris,34,say,chris,default,"잘못 담았으면 다시 눌러서 빼면 되고, 화살표로 앞 선반에
돌아갈 수도 있어. 다 담았으면 '제조 시작'이다.","Tap again to put something back, or use the arrows to revisit
a shelf. When you have everything, hit 'Start'.",dlg_d1_tutorial_chris_032,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_032,scene_d1_tutorial_chris,steps,32,steps_format_02
d1_tutorial_chris,35,say,luna,default,"제조 과정은 <world>쉐이킹</world>, <world>스터</world>, <world>빌드</world>, 이렇게 세 가지로 분류되는 것이 맞나요?","The methods fall into three categories — <world>shaking</world>, <world>stirring</world>, and <world>building</world>. Is that correct?",dlg_d1_tutorial_chris_033,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_033,scene_d1_tutorial_chris,steps,33,steps_format_02
d1_tutorial_chris,36,say,chris,default,기억은 하는군. 각 방법이 뭐가 다른지에 대한 설명도 필요하나?,So you do remember. Need me to explain how they differ?,dlg_d1_tutorial_chris_034,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_034,scene_d1_tutorial_chris,steps,34,steps_format_02
d1_tutorial_chris,37,say,luna,default,원활한 업무를 위해 필요할 것 같습니다.,It would help me operate smoothly.,dlg_d1_tutorial_chris_035,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_035,scene_d1_tutorial_chris,steps,35,steps_format_02
d1_tutorial_chris,38,say,chris,default,"좋아. 먼저 <world>쉐이킹</world>은 보스턴 쉐이커에 재료를 담은 뒤
위아래로 강하게 흔들면서 섞는 방법이다.","Fine. <world>Shaking</world> first: load the ingredients into a Boston shaker
and mix them hard, shaking up and down.",dlg_d1_tutorial_chris_036,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_036,scene_d1_tutorial_chris,steps,36,steps_format_02
d1_tutorial_chris,39,say,chris,default,잘 안 섞이는 재료들이 들어갈 때 주로 사용하지.,You mostly use it for ingredients that don't blend easily.,dlg_d1_tutorial_chris_037,\N,\N,wait,\N,script/bar/day0,dlg_d1_tutorial_chris_037,scene_d1_tutorial_chris,steps,37,steps_format_02
