id,kind,source_id,spot_id,facing,phase,spawn_when,activation_mode,interact_when,priority,action_type,action_ref,note,dataset_id,row_id,parent_id,parent_field,source_order,template_id
p_home_exit,object,home_exit_door,home_exit_door,\N,commute_in,\N,interact,\N,0,transition,exit_home,집 현관 상호작용. 현재 home_context의 출입 허용·차단은 HomeController가 판단,interact_points_home,interact_points_p_home_exit,@interact_points_home,\N,0,interact_points_format_01
p_home_sofa,object,home_sofa,home_sofa,\N,commute_out,\N,interact,\N,0,system,home_sofa_interaction,현재 home_context에 맞춰 수동 저장 또는 저장·취침 선택을 HomeController가 제공,interact_points_home,interact_points_p_home_sofa,@interact_points_home,\N,1,interact_points_format_01
p_elevator_radio,object,elevator_radio,elevator,\N,commute_out,day == 0,proximity,\N,0,dialogue,\N,라디오 범위 진입 시 아나운서 대사 자동 출력·자동 진행,interact_points_outside,interact_points_p_elevator_radio,@interact_points_outside,\N,0,interact_points_format_02
p_alley_cat,actor,bubi,alley_in,right,commute_in,day == 2,interact,!flag.d3_cat_seen,100,dialogue,\N,고양이에게 E 상호작용할 때만 대사 시작,interact_points_outside,interact_points_p_alley_cat,@interact_points_outside,\N,1,interact_points_format_03
p_shiba,actor,shiba,alley_in,right,both,day >= 1,interact,\N,100,dialogue,\N,flow_seq 오름차순으로 실행 가능한 첫 대화를 선택하고 once 완료 후 다음 대화로 진행,interact_points_outside,interact_points_p_shiba,@interact_points_outside,\N,2,interact_points_format_04
p_ob_parttime,object,sp_parttime_poster,street_wall,\N,both,day >= 1,interact,\N,50,dialogue,\N,몇 번이든 다시 읽을 수 있는 알바 전단,interact_points_outside,interact_points_p_ob_parttime,@interact_points_outside,\N,3,interact_points_format_02
p_ob_experiment,object,sp_experiment_poster,alley_in,\N,commute_out,\N,interact,!flag.seen_coratech_ad,50,dialogue,\N,임상시험 전단은 계속 보이고 한 번 읽은 뒤 상호작용만 비활성,interact_points_outside,interact_points_p_ob_experiment,@interact_points_outside,\N,4,interact_points_format_05
p_enter_bar,object,street_bar_door,bar_door,\N,commute_in,day <= 2,interact,\N,100,transition,enter_bar,자동 경계 이동 없이 문에서 E를 눌러 입장,interact_points_outside,interact_points_p_enter_bar,@interact_points_outside,\N,5,interact_points_format_06
p_enter_home,object,street_home_door,home_door,\N,commute_out,day <= 2,interact,\N,100,transition,enter_home,자동 경계 이동 없이 문에서 E를 눌러 입장,interact_points_outside,interact_points_p_enter_home,@interact_points_outside,\N,6,interact_points_format_06
p_elevator_move,object,street_elevator,elevator,\N,both,\N,interact,\N,0,system,elevator_toggle,상호작용 시 엘리베이터가 현재 위치를 판단해 반대 방향으로 이동,interact_points_outside,interact_points_p_elevator_move,@interact_points_outside,\N,7,interact_points_format_01
p_qa_pair_a,actor,street_citizen_a,qa_pair_left,right,commute_out,day == 99,interact,\N,100,dialogue,\N,A·B 중 가까운 NPC에서 E → 동일 대화 시작,qa/interact_points_day99,interact_points_p_qa_pair_a,@qa/interact_points_day99,\N,0,interact_points_format_04
p_qa_pair_b,actor,street_citizen_b,qa_pair_right,left,commute_out,day == 99,interact,\N,100,dialogue,\N,A·B 중 가까운 NPC에서 E → 동일 대화 시작,qa/interact_points_day99,interact_points_p_qa_pair_b,@qa/interact_points_day99,\N,1,interact_points_format_04
p_qa_object_text,object,qa_text_object,qa_text_object,\N,commute_out,day == 99,interact,\N,50,dialogue,\N,사물 위 무명형 말풍선·수동 다음 입력,qa/interact_points_day99,interact_points_p_qa_object_text,@qa/interact_points_day99,\N,2,interact_points_format_02
p_qa_sequence,object,qa_sequence_object,qa_sequence_object,\N,commute_out,day == 99,interact,\N,50,dialogue,\N,play_type once/repeat와 flow_seq로 1→2→3단계 진행·마지막 대사 반복,qa/interact_points_day99,interact_points_p_qa_sequence,@qa/interact_points_day99,\N,3,interact_points_format_02
p_qa_step_probe,object,qa_probe_object,qa_probe_object,\N,commute_out,day == 99,interact,\N,50,dialogue,\N,간식 획득·스텝 when·effects 갱신 검증,qa/interact_points_day99,interact_points_p_qa_step_probe,@qa/interact_points_day99,\N,4,interact_points_format_02
p_qa_player_npc,actor,street_citizen_c,qa_monologue,right,commute_out,day == 99,interact,\N,100,dialogue,\N,루나와 NPC의 대화도 플레이어가 E를 눌러야 시작,qa/interact_points_day99,interact_points_p_qa_player_npc,@qa/interact_points_day99,\N,5,interact_points_format_04
p_qa_choice,actor,street_citizen_d,qa_choice_npc,left,commute_out,day == 99,interact,\N,100,dialogue,\N,간식 보유 조건·소비·goto·잠금 사유 검증,qa/interact_points_day99,interact_points_p_qa_choice,@qa/interact_points_day99,\N,6,interact_points_format_04
p_qa_auto_radio,object,qa_auto_radio,street_mid,\N,commute_out,day == 99,proximity,\N,10,dialogue,\N,범위 진입 시 1회 자동 시작·이탈 후 계속 재생·같은 phase 재진입 반복 금지,qa/interact_points_day99,interact_points_p_qa_auto_radio,@qa/interact_points_day99,\N,7,interact_points_format_02
p_qa_poster_repeat,object,sp_parttime_poster,street_wall,\N,commute_out,day == 99,interact,\N,60,dialogue,\N,포스터 이미지·하단 텍스트·반복 열람,qa/interact_points_day99,interact_points_p_qa_poster_repeat,@qa/interact_points_day99,\N,8,interact_points_format_02
p_qa_poster_once,object,sp_experiment_poster,alley_in,\N,commute_out,day == 99,interact,!flag.qa_poster_seen,60,dialogue,\N,1회 열람 후 포스터는 남고 E 아이콘과 재실행만 비활성,qa/interact_points_day99,interact_points_p_qa_poster_once,@qa/interact_points_day99,\N,9,interact_points_format_07
p_qa_spawn_remove,object,qa_probe_object,alley_deep,\N,commute_out,day == 99 && !flag.qa_spawn_removed,interact,\N,60,dialogue,\N,정상 완료 후 spawn_when이 거짓이 되어 오브젝트 제거,qa/interact_points_day99,interact_points_p_qa_spawn_remove,@qa/interact_points_day99,\N,10,interact_points_format_02
p_qa_pure_display,object,qa_text_object,street_mid,\N,commute_out,day == 99,interact,\N,0,\N,\N,화면에만 존재하고 E 아이콘을 표시하지 않는 순수 배치,qa/interact_points_day99,interact_points_p_qa_pure_display,@qa/interact_points_day99,\N,11,interact_points_format_08
p_qa_transition_home,object,street_home_door,home_door,\N,commute_out,day == 99,interact,\N,100,transition,enter_home,QA 마지막에 문에서 E를 눌러 home·home_spawn_entry로 전환,qa/interact_points_day99,interact_points_p_qa_transition_home,@qa/interact_points_day99,\N,12,interact_points_format_06
