character_id,text.ko,text.en,min_affinity,kind,when,dataset_id,row_id,parent_id,parent_field,source_order,template_id
chris,바 '언노운'의 마스터. 말수가 적다.,Master of Bar Unknown. A man of few words.,10,desc,\N,dossier,dossier_dossier_chris,@dossier,\N,0,dossier_format_01
chris,클래식 칵테일을 조용히 비운다.,Quietly empties classic cocktails.,20,taste,\N,dossier,dossier_dossier_chris_2,@dossier,\N,1,dossier_format_01
chris,전직은 아무도 모른다. 손님들도 묻지 않는다.,Nobody knows what he did before. The regulars don't ask.,35,history,\N,dossier,dossier_dossier_chris_3,@dossier,\N,2,dossier_format_01
chris,루나를 받아준 이유를 아직 말하지 않았다. '때가 되면'이라고만 한다.,He still hasn't said why he took Luna in. Only: 'when it's time.',50,secret,\N,dossier,dossier_dossier_chris_4,@dossier,\N,3,dossier_format_01
port,고물 로봇과 함께 다니는 노인. 진피즈 한 우물.,"An old man with a scrap robot. Gin Fizz, always.",10,desc,\N,dossier,dossier_dossier_port,@dossier,\N,4,dossier_format_01
port,수십 년째 진피즈. '정석대로'가 주문의 전부다.,Decades of Gin Fizz. 'By the book' is his whole order.,20,taste,\N,dossier,dossier_dossier_port_2,@dossier,\N,5,dossier_format_01
port,골목에 쓰러져 있던 루나를 처음 발견해 데려온 사람.,The one who first found Luna collapsed in an alley and carried her in.,35,history,\N,dossier,dossier_dossier_port_3,@dossier,\N,6,dossier_format_01
port,그의 로봇에는 지워지지 않는 이름 하나가 저장되어 있다고 한다.,They say one name is stored in his robot that can never be erased.,50,secret,\N,dossier,dossier_dossier_port_4,@dossier,\N,7,dossier_format_01
aili,새벽에 나타나는 의사. 루나를 '예쁜이'라고 부른다.,A doctor who appears at dawn. Calls Luna 'sweetie.',10,desc,\N,dossier,dossier_dossier_aili,@dossier,\N,8,dossier_format_01
aili,샴페인 애호가. 독주는 의사로서 사양한다.,"A champagne lover. Declines hard liquor, doctor's orders.",20,taste,\N,dossier,dossier_dossier_aili_2,@dossier,\N,9,dossier_format_01
aili,루나의 수리에 참여했다. 몸의 흉터 위치를 전부 알고 있다.,She took part in Luna's repairs. She knows where every scar is.,35,history,\N,dossier,dossier_dossier_aili_3,@dossier,\N,10,dossier_format_01
aili,면허가 왜 정지됐는지는 술이 꽤 들어가야 나오는 이야기다.,Why her license was suspended is a story that takes quite a few drinks.,50,secret,\N,dossier,dossier_dossier_aili_4,@dossier,\N,11,dossier_format_01
samho,"애니멀 갱의 말단. 시끄럽고, 정이 많다.","Animal Gang's newest grunt. Loud, and soft-hearted.",10,desc,\N,dossier,dossier_dossier_samho,@dossier,\N,12,dossier_format_01
samho,독한 술을 동경한다. 보스가 마시는 마티니처럼.,Admires hard liquor. Like the martini his boss drinks.,20,taste,\N,dossier,dossier_dossier_samho_2,@dossier,\N,13,dossier_format_01
samho,부모가 데려온 일곱 동생을 혼자 돌보고 있다.,Raising the seven siblings his parents took in — alone now.,35,history,\N,dossier,dossier_dossier_samho_3,@dossier,\N,14,dossier_format_01
samho,전 재산을 털어 산 아머는 동생들 앞에서 멋있어 보이고 싶어서였다.,The armor he bought with everything he had — he just wanted to look cool for his siblings.,50,secret,\N,dossier,dossier_dossier_samho_4,@dossier,\N,15,dossier_format_01
samho,취한 채로 꽃을 가지러 나갔다. …밖이 소란스럽다.,Went out drunk to fetch a flower. ...It's loud outside.,0,recent,flag.samho_death_route,dossier,dossier_dossier_samho_5,@dossier,\N,16,dossier_format_02
samho,내일 노란 꽃을 보여주겠다고 약속했다.,Promised to show a yellow flower tomorrow.,0,recent,flag.samho_refused_drink,dossier,dossier_dossier_samho_6,@dossier,\N,17,dossier_format_02
bubi,아일리를 따라다니는 고양이. 잘 잔다.,The cat that follows Aili around. Sleeps well.,10,desc,\N,dossier,dossier_dossier_bubi,@dossier,\N,18,dossier_format_01
bubi,깔루아 밀크가 나오면 눈이 떠진다.,Eyes open the moment Kahlua Milk appears.,20,taste,\N,dossier,dossier_dossier_bubi_2,@dossier,\N,19,dossier_format_01
